Date,Close/Last,Volume,Open,High,Low
07/31/2019,$173.11,14628870,$173.71,$174.89,$170.09
07/30/2019,$174.1,14300640,$174.25,$175.71,$172.89
07/29/2019,$177.02,15130310,$178.43,$179.88,$175.35
07/26/2019,$178.74,15281020,$178.25,$179.4,$176.88
07/25/2019,$177.29,14048990,$178.49,$179.15,$175.369
07/24/2019,$178.67,14933110,$178,$178.96,$176.9382
07/23/2019,$178.09,20881550,$175.39,$178.64,$174.845
07/22/2019,$174,18497920,$173.5,$174.28,$171.4373
07/19/2019,$172.99,13647240,$174.87,$175.15,$172.99
07/18/2019,$172.8,15613200,$173.41,$174.4,$172.06
07/17/2019,$174.82,15031590,$172.75,$176.22,$172.49
07/16/2019,$174.19,19039650,$174.2,$175.52,$173.46
07/15/2019,$173.5,22199050,$171.5,$173.75,$170.42
07/12/2019,$169.07,18103650,$168,$170.2,$167.65
07/11/2019,$166.55,14796400,$167.56,$168.424,$165
07/10/2019,$166.93,16675580,$171.24,$171.37,$166.86
07/09/2019,$168.8,15782800,$167.085,$168.98,$166.5
07/08/2019,$168.45,16531020,$170.09,$170.28,$168.35
07/05/2019,$173.3,12618590,$173.75,$173.82,$172.82
07/03/2019,$174.67,8532590,$175.69,$175.85,$173.85
07/02/2019,$175.45,14155170,$175.13,$175.55,$174.25
07/01/2019,$175.05,25911000,$175.865,$177.95,$174.36
06/28/2019,$169.45,19974260,$170.2,$170.89,$167.96
06/27/2019,$170.9,18349360,$170.62,$171.98,$169.38
06/26/2019,$168.99,22416440,$168.28,$171.24,$168.15
06/25/2019,$165.8,20447750,$167.04,$167.34,$164.62
06/24/2019,$168.1,18422560,$168.4,$168.88,$165.78
06/21/2019,$167.55,17415780,$167.48,$169.471,$166.77
06/20/2019,$168.25,24004750,$170.19,$170.48,$166.275
06/19/2019,$165.46,20798070,$167.77,$167.9,$163.42
06/18/2019,$165.51,35754830,$162.89,$169.11,$161.95
06/17/2019,$159.91,16079840,$157.53,$160.55,$157.42
06/14/2019,$158.1,14981550,$158.37,$158.71,$157.23
06/13/2019,$160.33,17571390,$160.55,$161.32,$159.8
06/12/2019,$160.04,16329290,$160.47,$161.7,$158.81
06/11/2019,$162.65,23408400,$164.2,$165.68,$161.9245
06/10/2019,$159.85,36473290,$158.78,$161.98,$157.4
06/07/2019,$154.23,17817820,$152.95,$155.69,$152.2135
06/06/2019,$151.5,15762950,$152,$152.7,$150.57
06/05/2019,$151.65,23208590,$155.17,$156.11,$149.31
06/04/2019,$154.15,27417250,$151.56,$155.2,$150.64
06/03/2019,$149.91,25254430,$149.6,$151.77,$148.845
05/31/2019,$149.26,26881220,$149.63,$150.68,$147.95
05/30/2019,$151.07,17344650,$152.36,$153.37,$150.25
05/29/2019,$152.48,30073140,$153.58,$154.385,$150.71
05/28/2019,$154.81,38602960,$156.4,$157.07,$153.22
05/24/2019,$155,21489720,$157.615,$158.43,$154.9
05/23/2019,$156,26891860,$155.45,$158.4795,$154.41
05/22/2019,$158.83,25831220,$162.41,$162.82,$158.07
05/21/2019,$163.43,22006150,$163.16,$165.5896,$162.52
05/20/2019,$160.65,33413830,$164.44,$164.57,$160.02
05/17/2019,$169.57,22539380,$171.69,$172.29,$168.49
05/16/2019,$175.57,20579210,$178.18,$178.25,$174.75
05/15/2019,$177.6,37610420,$177.06,$180.24,$173.3212
05/14/2019,$174.84,17874110,$172.75,$175.15,$171.48
05/13/2019,$170.01,22330740,$169.79,$172.47,$168.78
05/10/2019,$178,18986990,$180.18,$180.79,$174.1
05/09/2019,$179.04,22727750,$175.43,$180.695,$173.07
05/08/2019,$179.59,16611100,$180.95,$183.2,$178.58
05/07/2019,$181.43,22663250,$186.05,$186.45,$179.63
05/06/2019,$188.24,23941220,$185.17,$189,$184.83
05/03/2019,$195.21,14521100,$191.88,$195.72,$191.88
05/02/2019,$190.39,11468110,$189.42,$192.7,$186.65
05/01/2019,$189.31,17405480,$186.75,$193.195,$185.88
04/30/2019,$185.57,14936460,$186.3,$188.25,$183.82
04/29/2019,$186.94,8654876,$187.42,$188,$185.76
04/26/2019,$187.09,9417003,$187.88,$188.74,$185.51
04/25/2019,$187.88,10292050,$185.24,$188.13,$183.955
04/24/2019,$185.67,9070708,$186.76,$186.9,$184.58
04/23/2019,$187.29,11393960,$186,$188.15,$185.44
04/22/2019,$185.38,8675504,$184.5,$186.47,$183.61
04/18/2019,$186.94,7881820,$186.41,$187.28,$185.39
04/17/2019,$187.55,11608570,$187.34,$188.2,$185.78
04/16/2019,$185.78,12173550,$185.55,$185.79,$183.4
04/15/2019,$183.07,14610190,$188.06,$188.17,$182.56
04/12/2019,$188.91,12561090,$187.71,$189.79,$187.14
04/11/2019,$184.98,8848863,$185.15,$186.06,$183.75
04/10/2019,$186.19,10650950,$186.69,$187.4,$184
04/09/2019,$187.19,11571350,$186.49,$187.89,$186.16
04/08/2019,$186.5,14715210,$184.19,$187.82,$184.01
04/05/2019,$185.35,18690730,$182.51,$185.5,$182
04/04/2019,$181.07,16988950,$177.04,$181.96,$176.89
04/03/2019,$178.32,26806500,$179.51,$180.7,$176.76
04/02/2019,$181.74,7802597,$181.46,$183.5627,$180.95
04/01/2019,$180.89,12700610,$185.09,$185.56,$180.89
03/29/2019,$182.45,13839900,$180.73,$182.6,$179
03/28/2019,$177.73,7225447,$177.47,$178.53,$175.97
03/27/2019,$177.03,8363301,$177.7,$179.83,$176.9125
03/26/2019,$178.08,7750467,$179.7,$180.65,$177.095
03/25/2019,$178.77,7489573,$174.33,$178.9,$174.1
03/22/2019,$176.26,11669970,$179.77,$180.48,$175.3362
03/21/2019,$181.5,9726780,$178.95,$181.73,$178.52
03/20/2019,$181.28,15891540,$180.94,$181.95,$178.43
03/19/2019,$182.14,9750742,$181.63,$183.36,$180.85
03/18/2019,$181.83,7828454,$181.93,$182.89,$180.76
03/15/2019,$180.97,10815920,$180.66,$181.45,$179.66
03/14/2019,$180.36,9264161,$179.06,$180.82,$178.01
03/13/2019,$180.7,8733055,$180.73,$182.535,$179.26
03/12/2019,$180.63,8654447,$182.04,$182.18,$179.51
03/11/2019,$180.41,13742250,$177.83,$181.72,$177.58
03/08/2019,$175.03,14664220,$171.565,$175.35,$171.565
03/07/2019,$177.32,16464060,$180.91,$181.8,$176.73
03/06/2019,$184.17,10001170,$184.38,$185.59,$183.02
03/05/2019,$185,11494680,$186.94,$188.08,$185
03/04/2019,$187.25,14736020,$186,$187.34,$184.46
03/01/2019,$183.88,14284680,$185.09,$186.9,$183.38
02/28/2019,$183.03,12348160,$183.01,$184.3,$181.47
02/27/2019,$184.58,16727160,$181.72,$184.93,$180.88
02/26/2019,$183.54,13853070,$179.79,$184.35,$179.37
02/25/2019,$183.25,22759390,$181.26,$183.72,$180.73
02/22/2019,$176.92,16161830,$172.8,$177.02,$172.52
02/21/2019,$171.66,8419851,$171,$171.78,$169.8
02/20/2019,$170.71,12447060,$171,$172.68,$170.61
02/19/2019,$170.18,12968380,$166.98,$171.15,$166.5
02/15/2019,$166.15,11983190,$168.61,$168.77,$165.41
